Candidate,Votes,County,race
GARY E JOHNSON,7579,Santa Fe,United States Senator
MICK RICH,9451,Santa Fe,United States Senator
Total Votes,66651,Santa Fe,United States Senator
MARTIN T HEINRICH,1917,Sierra,United States Senator
GARY E JOHNSON,767,Sierra,United States Senator
MICK RICH,2048,Sierra,United States Senator
Total Votes,4732,Sierra,United States Senator
MARTIN T HEINRICH,3409,Socorro,United States Senator
GARY E JOHNSON,1129,Socorro,United States Senator
MICK RICH,1699,Socorro,United States Senator
Total Votes,6237,Socorro,United States Senator
MARTIN T HEINRICH,10842,Taos,United States Senator
GARY E JOHNSON,2112,Taos,United States Senator
MICK RICH,1556,Taos,United States Senator
Total Votes,14510,Taos,United States Senator
MARTIN T HEINRICH,1980,Torrance,United States Senator
GARY E JOHNSON,950,Torrance,United States Senator
MICK RICH,2431,Torrance,United States Senator
Total Votes,5361,Torrance,United States Senator
MARTIN T HEINRICH,332,Union,United States Senator
GARY E JOHNSON,251,Union,United States Senator
MICK RICH,868,Union,United States Senator
Total Votes,1451,Union,United States Senator
MARTIN T HEINRICH,10491,Valencia,United States Senator
GARY E JOHNSON,3874,Valencia,United States Senator
MICK RICH,8115,Valencia,United States Senator
Total Votes,22480,Valencia,United States Senator
DEBRA A HAALAND,135317,Bernalillo,United States Representative - DISTRICT 1
LLOYD J PRINCETON,10277,Bernalillo,United States Representative - DISTRICT 1
JANICE E ARNOLD-JONES,79757,Bernalillo,United States Representative - DISTRICT 1
Total Votes,225351,Bernalillo,United States Representative - DISTRICT 1
DEBRA A HAALAND,5808,Sandoval,United States Representative - DISTRICT 1
LLOYD J PRINCETON,413,Sandoval,United States Representative - DISTRICT 1
JANICE E ARNOLD-JONES,4016,Sandoval,United States Representative - DISTRICT 1
Total Votes,10237,Sandoval,United States Representative - DISTRICT 1
DEBRA A HAALAND,891,Santa Fe,United States Representative - DISTRICT 1
LLOYD J PRINCETON,136,Santa Fe,United States Representative - DISTRICT 1
JANICE E ARNOLD-JONES,1487,Santa Fe,United States Representative - DISTRICT 1
Total Votes,2514,Santa Fe,United States Representative - DISTRICT 1
DEBRA A HAALAND,1937,Torrance,United States Representative - DISTRICT 1
LLOYD J PRINCETON,268,Torrance,United States Representative - DISTRICT 1
JANICE E ARNOLD-JONES,3130,Torrance,United States Representative - DISTRICT 1
Total Votes,5335,Torrance,United States Representative - DISTRICT 1
DEBRA A HAALAND,1068,Valencia,United States Representative - DISTRICT 1
LLOYD J PRINCETON,91,Valencia,United States Representative - DISTRICT 1
JANICE E ARNOLD-JONES,907,Valencia,United States Representative - DISTRICT 1
Total Votes,2066,Valencia,United States Representative - DISTRICT 1
XOCHITL TORRES SMALL,526,Bernalillo,United States Representative - DISTRICT 2
YVETTE HERRELL,165,Bernalillo,United States Representative - DISTRICT 2
Total Votes,691,Bernalillo,United States Representative - DISTRICT 2
XOCHITL TORRES SMALL,553,Catron,United States Representative - DISTRICT 2
YVETTE HERRELL,1264,Catron,United States Representative - DISTRICT 2
Total Votes,1817,Catron,United States Representative - DISTRICT 2
