Candidate,Votes,County,race
Total Votes,10044,Los Alamos,Secretary of State
MAGGIE TOULOUSE OLIVER,3043,Luna,Secretary of State
GINGER G GRIDER,351,Luna,Secretary of State
GAVIN S CLARKSON,2673,Luna,Secretary of State
Total Votes,6067,Luna,Secretary of State
MAGGIE TOULOUSE OLIVER,12467,McKinley,Secretary of State
GINGER G GRIDER,1166,McKinley,Secretary of State
GAVIN S CLARKSON,4003,McKinley,Secretary of State
Total Votes,17636,McKinley,Secretary of State
MAGGIE TOULOUSE OLIVER,1664,Mora,Secretary of State
GINGER G GRIDER,91,Mora,Secretary of State
GAVIN S CLARKSON,512,Mora,Secretary of State
Total Votes,2267,Mora,Secretary of State
MAGGIE TOULOUSE OLIVER,6393,Otero,Secretary of State
GINGER G GRIDER,950,Otero,Secretary of State
GAVIN S CLARKSON,9650,Otero,Secretary of State
Total Votes,16993,Otero,Secretary of State
MAGGIE TOULOUSE OLIVER,1114,Quay,Secretary of State
GINGER G GRIDER,160,Quay,Secretary of State
GAVIN S CLARKSON,1754,Quay,Secretary of State
Total Votes,3028,Quay,Secretary of State
MAGGIE TOULOUSE OLIVER,9456,Rio Arriba,Secretary of State
GINGER G GRIDER,527,Rio Arriba,Secretary of State
GAVIN S CLARKSON,2562,Rio Arriba,Secretary of State
Total Votes,12545,Rio Arriba,Secretary of State
MAGGIE TOULOUSE OLIVER,1321,Roosevelt,Secretary of State
GINGER G GRIDER,364,Roosevelt,Secretary of State
GAVIN S CLARKSON,2918,Roosevelt,Secretary of State
Total Votes,4603,Roosevelt,Secretary of State
MAGGIE TOULOUSE OLIVER,13170,San Juan,Secretary of State
GINGER G GRIDER,2260,San Juan,Secretary of State
GAVIN S CLARKSON,21504,San Juan,Secretary of State
Total Votes,36934,San Juan,Secretary of State
MAGGIE TOULOUSE OLIVER,7076,San Miguel,Secretary of State
GINGER G GRIDER,316,San Miguel,Secretary of State
GAVIN S CLARKSON,1757,San Miguel,Secretary of State
Total Votes,9149,San Miguel,Secretary of State
MAGGIE TOULOUSE OLIVER,30072,Sandoval,Secretary of State
GINGER G GRIDER,2774,Sandoval,Secretary of State
GAVIN S CLARKSON,21809,Sandoval,Secretary of State
Total Votes,54655,Sandoval,Secretary of State
MAGGIE TOULOUSE OLIVER,51719,Santa Fe,Secretary of State
GINGER G GRIDER,2334,Santa Fe,Secretary of State
GAVIN S CLARKSON,12184,Santa Fe,Secretary of State
Total Votes,66237,Santa Fe,Secretary of State
MAGGIE TOULOUSE OLIVER,1958,Sierra,Secretary of State
GINGER G GRIDER,281,Sierra,Secretary of State
GAVIN S CLARKSON,2453,Sierra,Secretary of State
Total Votes,4692,Sierra,Secretary of State
MAGGIE TOULOUSE OLIVER,3572,Socorro,Secretary of State
GINGER G GRIDER,433,Socorro,Secretary of State
GAVIN S CLARKSON,2131,Socorro,Secretary of State
Total Votes,6136,Socorro,Secretary of State
MAGGIE TOULOUSE OLIVER,11630,Taos,Secretary of State
GINGER G GRIDER,560,Taos,Secretary of State
GAVIN S CLARKSON,2172,Taos,Secretary of State
Total Votes,14362,Taos,Secretary of State
MAGGIE TOULOUSE OLIVER,2098,Torrance,Secretary of State
GINGER G GRIDER,320,Torrance,Secretary of State
GAVIN S CLARKSON,2895,Torrance,Secretary of State
Total Votes,5313,Torrance,Secretary of State
MAGGIE TOULOUSE OLIVER,394,Union,Secretary of State
GINGER G GRIDER,74,Union,Secretary of State
GAVIN S CLARKSON,964,Union,Secretary of State
Total Votes,1432,Union,Secretary of State
MAGGIE TOULOUSE OLIVER,11140,Valencia,Secretary of State
GINGER G GRIDER,1331,Valencia,Secretary of State
GAVIN S CLARKSON,9820,Valencia,Secretary of State
Total Votes,22291,Valencia,Secretary of State
BRIAN S COLÓN,145375,Bernalillo,State Auditor
WAYNE A JOHNSON,88781,Bernalillo,State Auditor
Total Votes,234156,Bernalillo,State Auditor
BRIAN S COLÓN,523,Catron,State Auditor
WAYNE A JOHNSON,1285,Catron,State Auditor
Total Votes,1808,Catron,State Auditor
BRIAN S COLÓN,5531,Chaves,State Auditor
WAYNE A JOHNSON,10955,Chaves,State Auditor
Total Votes,16486,Chaves,State Auditor
BRIAN S COLÓN,4315,Cibola,State Auditor
WAYNE A JOHNSON,2674,Cibola,State Auditor
Total Votes,6989,Cibola,State Auditor
BRIAN S COLÓN,2347,Colfax,State Auditor
WAYNE A JOHNSON,2282,Colfax,State Auditor
Total Votes,4629,Colfax,State Auditor
BRIAN S COLÓN,2919,Curry,State Auditor
WAYNE A JOHNSON,7137,Curry,State Auditor
Total Votes,10056,Curry,State Auditor
BRIAN S COLÓN,270,De Baca,State Auditor
WAYNE A JOHNSON,501,De Baca,State Auditor
Total Votes,771,De Baca,State Auditor
BRIAN S COLÓN,35132,Dona Ana,State Auditor
WAYNE A JOHNSON,24048,Dona Ana,State Auditor
Total Votes,59180,Dona Ana,State Auditor
BRIAN S COLÓN,4991,Eddy,State Auditor
WAYNE A JOHNSON,10622,Eddy,State Auditor
Total Votes,15613,Eddy,State Auditor
BRIAN S COLÓN,7004,Grant,State Auditor
WAYNE A JOHNSON,4652,Grant,State Auditor
Total Votes,11656,Grant,State Auditor
BRIAN S COLÓN,1178,Guadalupe,State Auditor
WAYNE A JOHNSON,472,Guadalupe,State Auditor
Total Votes,1650,Guadalupe,State Auditor
BRIAN S COLÓN,208,Harding,State Auditor
WAYNE A JOHNSON,257,Harding,State Auditor
Total Votes,465,Harding,State Auditor
BRIAN S COLÓN,780,Hidalgo,State Auditor
WAYNE A JOHNSON,765,Hidalgo,State Auditor
Total Votes,1545,Hidalgo,State Auditor
BRIAN S COLÓN,3541,Lea,State Auditor
WAYNE A JOHNSON,10167,Lea,State Auditor
Total Votes,13708,Lea,State Auditor
BRIAN S COLÓN,2624,Lincoln,State Auditor
WAYNE A JOHNSON,5134,Lincoln,State Auditor
Total Votes,7758,Lincoln,State Auditor
BRIAN S COLÓN,5744,Los Alamos,State Auditor
WAYNE A JOHNSON,4159,Los Alamos,State Auditor
Total Votes,9903,Los Alamos,State Auditor
BRIAN S COLÓN,3053,Luna,State Auditor
WAYNE A JOHNSON,3000,Luna,State Auditor
Total Votes,6053,Luna,State Auditor
BRIAN S COLÓN,12016,McKinley,State Auditor
WAYNE A JOHNSON,5549,McKinley,State Auditor
Total Votes,17565,McKinley,State Auditor
BRIAN S COLÓN,1689,Mora,State Auditor
WAYNE A JOHNSON,596,Mora,State Auditor
Total Votes,2285,Mora,State Auditor
BRIAN S COLÓN,6425,Otero,State Auditor
WAYNE A JOHNSON,10502,Otero,State Auditor
Total Votes,16927,Otero,State Auditor
BRIAN S COLÓN,1099,Quay,State Auditor
WAYNE A JOHNSON,1924,Quay,State Auditor
Total Votes,3023,Quay,State Auditor
BRIAN S COLÓN,9634,Rio Arriba,State Auditor
WAYNE A JOHNSON,2915,Rio Arriba,State Auditor
Total Votes,12549,Rio Arriba,State Auditor
BRIAN S COLÓN,1370,Roosevelt,State Auditor
WAYNE A JOHNSON,3216,Roosevelt,State Auditor
Total Votes,4586,Roosevelt,State Auditor
BRIAN S COLÓN,12975,San Juan,State Auditor
WAYNE A JOHNSON,23835,San Juan,State Auditor
Total Votes,36810,San Juan,State Auditor
BRIAN S COLÓN,7126,San Miguel,State Auditor
WAYNE A JOHNSON,2021,San Miguel,State Auditor
Total Votes,9147,San Miguel,State Auditor
BRIAN S COLÓN,29995,Sandoval,State Auditor
WAYNE A JOHNSON,24447,Sandoval,State Auditor
Total Votes,54442,Sandoval,State Auditor
BRIAN S COLÓN,51465,Santa Fe,State Auditor
WAYNE A JOHNSON,14415,Santa Fe,State Auditor
Total Votes,65880,Santa Fe,State Auditor
BRIAN S COLÓN,1964,Sierra,State Auditor
WAYNE A JOHNSON,2714,Sierra,State Auditor
Total Votes,4678,Sierra,State Auditor
BRIAN S COLÓN,3576,Socorro,State Auditor
WAYNE A JOHNSON,2517,Socorro,State Auditor
Total Votes,6093,Socorro,State Auditor
BRIAN S COLÓN,11736,Taos,State Auditor
WAYNE A JOHNSON,2568,Taos,State Auditor
Total Votes,14304,Taos,State Auditor
BRIAN S COLÓN,2070,Torrance,State Auditor
WAYNE A JOHNSON,3243,Torrance,State Auditor
Total Votes,5313,Torrance,State Auditor
BRIAN S COLÓN,380,Union,State Auditor
WAYNE A JOHNSON,1035,Union,State Auditor
Total Votes,1415,Union,State Auditor
BRIAN S COLÓN,11563,Valencia,State Auditor
WAYNE A JOHNSON,10742,Valencia,State Auditor
Total Votes,22305,Valencia,State Auditor
TIM EICHENBERG,147690,Bernalillo,State Treasurer
ARTHUR L CASTILLO,83720,Bernalillo,State Treasurer
Total Votes,231410,Bernalillo,State Treasurer
TIM EICHENBERG,536,Catron,State Treasurer
ARTHUR L CASTILLO,1258,Catron,State Treasurer
Total Votes,1794,Catron,State Treasurer
TIM EICHENBERG,5404,Chaves,State Treasurer
ARTHUR L CASTILLO,11001,Chaves,State Treasurer
Total Votes,16405,Chaves,State Treasurer
TIM EICHENBERG,4142,Cibola,State Treasurer
ARTHUR L CASTILLO,2773,Cibola,State Treasurer
Total Votes,6915,Cibola,State Treasurer
TIM EICHENBERG,2251,Colfax,State Treasurer
ARTHUR L CASTILLO,2330,Colfax,State Treasurer
Total Votes,4581,Colfax,State Treasurer
TIM EICHENBERG,3250,Curry,State Treasurer
ARTHUR L CASTILLO,6765,Curry,State Treasurer
Total Votes,10015,Curry,State Treasurer
TIM EICHENBERG,289,De Baca,State Treasurer
ARTHUR L CASTILLO,468,De Baca,State Treasurer
Total Votes,757,De Baca,State Treasurer
TIM EICHENBERG,35059,Dona Ana,State Treasurer
ARTHUR L CASTILLO,24062,Dona Ana,State Treasurer
Total Votes,59121,Dona Ana,State Treasurer
TIM EICHENBERG,4883,Eddy,State Treasurer
ARTHUR L CASTILLO,10606,Eddy,State Treasurer
Total Votes,15489,Eddy,State Treasurer
TIM EICHENBERG,6797,Grant,State Treasurer
ARTHUR L CASTILLO,4759,Grant,State Treasurer
Total Votes,11556,Grant,State Treasurer
TIM EICHENBERG,985,Guadalupe,State Treasurer
ARTHUR L CASTILLO,630,Guadalupe,State Treasurer
Total Votes,1615,Guadalupe,State Treasurer
TIM EICHENBERG,186,Harding,State Treasurer
ARTHUR L CASTILLO,268,Harding,State Treasurer
Total Votes,454,Harding,State Treasurer
TIM EICHENBERG,765,Hidalgo,State Treasurer
ARTHUR L CASTILLO,765,Hidalgo,State Treasurer
Total Votes,1530,Hidalgo,State Treasurer
TIM EICHENBERG,3503,Lea,State Treasurer
ARTHUR L CASTILLO,10136,Lea,State Treasurer
Total Votes,13639,Lea,State Treasurer
TIM EICHENBERG,2622,Lincoln,State Treasurer
ARTHUR L CASTILLO,5090,Lincoln,State Treasurer
Total Votes,7712,Lincoln,State Treasurer
TIM EICHENBERG,6009,Los Alamos,State Treasurer
ARTHUR L CASTILLO,3778,Los Alamos,State Treasurer
Total Votes,9787,Los Alamos,State Treasurer
TIM EICHENBERG,2953,Luna,State Treasurer
ARTHUR L CASTILLO,3051,Luna,State Treasurer
Total Votes,6004,Luna,State Treasurer
TIM EICHENBERG,12411,McKinley,State Treasurer
ARTHUR L CASTILLO,4957,McKinley,State Treasurer
Total Votes,17368,McKinley,State Treasurer
TIM EICHENBERG,1479,Mora,State Treasurer
ARTHUR L CASTILLO,748,Mora,State Treasurer
Total Votes,2227,Mora,State Treasurer
TIM EICHENBERG,6263,Otero,State Treasurer
ARTHUR L CASTILLO,10520,Otero,State Treasurer
Total Votes,16783,Otero,State Treasurer
TIM EICHENBERG,1120,Quay,State Treasurer
ARTHUR L CASTILLO,1888,Quay,State Treasurer
Total Votes,3008,Quay,State Treasurer
TIM EICHENBERG,8883,Rio Arriba,State Treasurer
ARTHUR L CASTILLO,3493,Rio Arriba,State Treasurer
Total Votes,12376,Rio Arriba,State Treasurer
TIM EICHENBERG,1481,Roosevelt,State Treasurer
ARTHUR L CASTILLO,3074,Roosevelt,State Treasurer
Total Votes,4555,Roosevelt,State Treasurer
TIM EICHENBERG,13241,San Juan,State Treasurer
ARTHUR L CASTILLO,23286,San Juan,State Treasurer
Total Votes,36527,San Juan,State Treasurer
TIM EICHENBERG,6561,San Miguel,State Treasurer
ARTHUR L CASTILLO,2501,San Miguel,State Treasurer
Total Votes,9062,San Miguel,State Treasurer
TIM EICHENBERG,30271,Sandoval,State Treasurer
ARTHUR L CASTILLO,23829,Sandoval,State Treasurer
Total Votes,54100,Sandoval,State Treasurer
TIM EICHENBERG,51144,Santa Fe,State Treasurer
ARTHUR L CASTILLO,14375,Santa Fe,State Treasurer
Total Votes,65519,Santa Fe,State Treasurer
TIM EICHENBERG,1991,Sierra,State Treasurer
ARTHUR L CASTILLO,2641,Sierra,State Treasurer
Total Votes,4632,Sierra,State Treasurer
TIM EICHENBERG,3355,Socorro,State Treasurer
ARTHUR L CASTILLO,2696,Socorro,State Treasurer
Total Votes,6051,Socorro,State Treasurer
TIM EICHENBERG,11031,Taos,State Treasurer
ARTHUR L CASTILLO,3180,Taos,State Treasurer
Total Votes,14211,Taos,State Treasurer
TIM EICHENBERG,2060,Torrance,State Treasurer
ARTHUR L CASTILLO,3207,Torrance,State Treasurer
Total Votes,5267,Torrance,State Treasurer
TIM EICHENBERG,419,Union,State Treasurer
ARTHUR L CASTILLO,1000,Union,State Treasurer
Total Votes,1419,Union,State Treasurer
TIM EICHENBERG,10833,Valencia,State Treasurer
ARTHUR L CASTILLO,11294,Valencia,State Treasurer
Total Votes,22127,Valencia,State Treasurer
HECTOR BALDERAS,159017,Bernalillo,Attorney General
A BLAIR DUNN,11021,Bernalillo,Attorney General
MICHAEL EUGENE HENDRICKS,65793,Bernalillo,Attorney General
Total Votes,235831,Bernalillo,Attorney General
HECTOR BALDERAS,632,Catron,Attorney General
A BLAIR DUNN,115,Catron,Attorney General
MICHAEL EUGENE HENDRICKS,1072,Catron,Attorney General
Total Votes,1819,Catron,Attorney General
HECTOR BALDERAS,6495,Chaves,Attorney General
A BLAIR DUNN,890,Chaves,Attorney General
MICHAEL EUGENE HENDRICKS,9202,Chaves,Attorney General
Total Votes,16587,Chaves,Attorney General
HECTOR BALDERAS,4769,Cibola,Attorney General
A BLAIR DUNN,303,Cibola,Attorney General
MICHAEL EUGENE HENDRICKS,1956,Cibola,Attorney General
Total Votes,7028,Cibola,Attorney General
HECTOR BALDERAS,2887,Colfax,Attorney General
A BLAIR DUNN,169,Colfax,Attorney General
MICHAEL EUGENE HENDRICKS,1611,Colfax,Attorney General
Total Votes,4667,Colfax,Attorney General
HECTOR BALDERAS,3084,Curry,Attorney General
A BLAIR DUNN,474,Curry,Attorney General
MICHAEL EUGENE HENDRICKS,6566,Curry,Attorney General
Total Votes,10124,Curry,Attorney General
HECTOR BALDERAS,365,De Baca,Attorney General
A BLAIR DUNN,42,De Baca,Attorney General
MICHAEL EUGENE HENDRICKS,378,De Baca,Attorney General
Total Votes,785,De Baca,Attorney General
HECTOR BALDERAS,34900,Dona Ana,Attorney General
A BLAIR DUNN,3523,Dona Ana,Attorney General
MICHAEL EUGENE HENDRICKS,21053,Dona Ana,Attorney General
Total Votes,59476,Dona Ana,Attorney General
HECTOR BALDERAS,5653,Eddy,Attorney General
A BLAIR DUNN,672,Eddy,Attorney General
MICHAEL EUGENE HENDRICKS,9376,Eddy,Attorney General
Total Votes,15701,Eddy,Attorney General
HECTOR BALDERAS,7527,Grant,Attorney General
A BLAIR DUNN,477,Grant,Attorney General
MICHAEL EUGENE HENDRICKS,3745,Grant,Attorney General
Total Votes,11749,Grant,Attorney General
HECTOR BALDERAS,1342,Guadalupe,Attorney General
A BLAIR DUNN,59,Guadalupe,Attorney General
MICHAEL EUGENE HENDRICKS,291,Guadalupe,Attorney General
Total Votes,1692,Guadalupe,Attorney General
HECTOR BALDERAS,269,Harding,Attorney General
A BLAIR DUNN,29,Harding,Attorney General
MICHAEL EUGENE HENDRICKS,173,Harding,Attorney General
Total Votes,471,Harding,Attorney General
HECTOR BALDERAS,900,Hidalgo,Attorney General
A BLAIR DUNN,71,Hidalgo,Attorney General
MICHAEL EUGENE HENDRICKS,611,Hidalgo,Attorney General
Total Votes,1582,Hidalgo,Attorney General
HECTOR BALDERAS,3929,Lea,Attorney General
A BLAIR DUNN,543,Lea,Attorney General
MICHAEL EUGENE HENDRICKS,9306,Lea,Attorney General
Total Votes,13778,Lea,Attorney General
HECTOR BALDERAS,3038,Lincoln,Attorney General
A BLAIR DUNN,451,Lincoln,Attorney General
MICHAEL EUGENE HENDRICKS,4337,Lincoln,Attorney General
Total Votes,7826,Lincoln,Attorney General
HECTOR BALDERAS,6142,Los Alamos,Attorney General
A BLAIR DUNN,863,Los Alamos,Attorney General
MICHAEL EUGENE HENDRICKS,3021,Los Alamos,Attorney General
Total Votes,10026,Los Alamos,Attorney General
HECTOR BALDERAS,3332,Luna,Attorney General
A BLAIR DUNN,297,Luna,Attorney General
MICHAEL EUGENE HENDRICKS,2480,Luna,Attorney General
Total Votes,6109,Luna,Attorney General
HECTOR BALDERAS,13023,McKinley,Attorney General
A BLAIR DUNN,862,McKinley,Attorney General
MICHAEL EUGENE HENDRICKS,3842,McKinley,Attorney General
Total Votes,17727,McKinley,Attorney General
HECTOR BALDERAS,1886,Mora,Attorney General
A BLAIR DUNN,54,Mora,Attorney General
MICHAEL EUGENE HENDRICKS,363,Mora,Attorney General
Total Votes,2303,Mora,Attorney General
HECTOR BALDERAS,7145,Otero,Attorney General
A BLAIR DUNN,1089,Otero,Attorney General
MICHAEL EUGENE HENDRICKS,8787,Otero,Attorney General
Total Votes,17021,Otero,Attorney General
HECTOR BALDERAS,1205,Quay,Attorney General
A BLAIR DUNN,171,Quay,Attorney General
MICHAEL EUGENE HENDRICKS,1680,Quay,Attorney General
Total Votes,3056,Quay,Attorney General
HECTOR BALDERAS,10277,Rio Arriba,Attorney General
A BLAIR DUNN,415,Rio Arriba,Attorney General
MICHAEL EUGENE HENDRICKS,1989,Rio Arriba,Attorney General
Total Votes,12681,Rio Arriba,Attorney General
HECTOR BALDERAS,1449,Roosevelt,Attorney General
A BLAIR DUNN,287,Roosevelt,Attorney General
MICHAEL EUGENE HENDRICKS,2868,Roosevelt,Attorney General
Total Votes,4604,Roosevelt,Attorney General
HECTOR BALDERAS,14773,San Juan,Attorney General
A BLAIR DUNN,1988,San Juan,Attorney General
MICHAEL EUGENE HENDRICKS,20256,San Juan,Attorney General
Total Votes,37017,San Juan,Attorney General
HECTOR BALDERAS,7556,San Miguel,Attorney General
A BLAIR DUNN,269,San Miguel,Attorney General
MICHAEL EUGENE HENDRICKS,1370,San Miguel,Attorney General
Total Votes,9195,San Miguel,Attorney General
HECTOR BALDERAS,33252,Sandoval,Attorney General
A BLAIR DUNN,2391,Sandoval,Attorney General
MICHAEL EUGENE HENDRICKS,19086,Sandoval,Attorney General
Total Votes,54729,Sandoval,Attorney General
HECTOR BALDERAS,52989,Santa Fe,Attorney General
A BLAIR DUNN,2627,Santa Fe,Attorney General
MICHAEL EUGENE HENDRICKS,10416,Santa Fe,Attorney General
Total Votes,66032,Santa Fe,Attorney General
HECTOR BALDERAS,2280,Sierra,Attorney General
A BLAIR DUNN,255,Sierra,Attorney General
MICHAEL EUGENE HENDRICKS,2172,Sierra,Attorney General
Total Votes,4707,Sierra,Attorney General
HECTOR BALDERAS,3978,Socorro,Attorney General
A BLAIR DUNN,343,Socorro,Attorney General
MICHAEL EUGENE HENDRICKS,1859,Socorro,Attorney General
Total Votes,6180,Socorro,Attorney General
HECTOR BALDERAS,12047,Taos,Attorney General
A BLAIR DUNN,566,Taos,Attorney General
MICHAEL EUGENE HENDRICKS,1813,Taos,Attorney General
Total Votes,14426,Taos,Attorney General
HECTOR BALDERAS,2601,Torrance,Attorney General
A BLAIR DUNN,300,Torrance,Attorney General
MICHAEL EUGENE HENDRICKS,2448,Torrance,Attorney General
Total Votes,5349,Torrance,Attorney General
HECTOR BALDERAS,441,Union,Attorney General
A BLAIR DUNN,69,Union,Attorney General
MICHAEL EUGENE HENDRICKS,922,Union,Attorney General
Total Votes,1432,Union,Attorney General
HECTOR BALDERAS,13025,Valencia,Attorney General
A BLAIR DUNN,953,Valencia,Attorney General
MICHAEL EUGENE HENDRICKS,8425,Valencia,Attorney General
Total Votes,22403,Valencia,Attorney General
STEPHANIE GARCIA RICHARD,129492,Bernalillo,Commissioner of Public Lands
MICHAEL G LUCERO,13283,Bernalillo,Commissioner of Public Lands
PATRICK H LYONS,91876,Bernalillo,Commissioner of Public Lands
Total Votes,234651,Bernalillo,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,430,Catron,Commissioner of Public Lands
MICHAEL G LUCERO,99,Catron,Commissioner of Public Lands
PATRICK H LYONS,1295,Catron,Commissioner of Public Lands
Total Votes,1824,Catron,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,4541,Chaves,Commissioner of Public Lands
MICHAEL G LUCERO,943,Chaves,Commissioner of Public Lands
PATRICK H LYONS,11062,Chaves,Commissioner of Public Lands
Total Votes,16546,Chaves,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,3528,Cibola,Commissioner of Public Lands
MICHAEL G LUCERO,535,Cibola,Commissioner of Public Lands
PATRICK H LYONS,2919,Cibola,Commissioner of Public Lands
Total Votes,6982,Cibola,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,1898,Colfax,Commissioner of Public Lands
MICHAEL G LUCERO,272,Colfax,Commissioner of Public Lands
PATRICK H LYONS,2485,Colfax,Commissioner of Public Lands
Total Votes,4655,Colfax,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,2617,Curry,Commissioner of Public Lands
MICHAEL G LUCERO,464,Curry,Commissioner of Public Lands
PATRICK H LYONS,7060,Curry,Commissioner of Public Lands
Total Votes,10141,Curry,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,172,De Baca,Commissioner of Public Lands
MICHAEL G LUCERO,60,De Baca,Commissioner of Public Lands
PATRICK H LYONS,557,De Baca,Commissioner of Public Lands
Total Votes,789,De Baca,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,33460,Dona Ana,Commissioner of Public Lands
MICHAEL G LUCERO,3629,Dona Ana,Commissioner of Public Lands
PATRICK H LYONS,22311,Dona Ana,Commissioner of Public Lands
Total Votes,59400,Dona Ana,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,4094,Eddy,Commissioner of Public Lands
MICHAEL G LUCERO,713,Eddy,Commissioner of Public Lands
PATRICK H LYONS,10854,Eddy,Commissioner of Public Lands
Total Votes,15661,Eddy,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,6347,Grant,Commissioner of Public Lands
MICHAEL G LUCERO,601,Grant,Commissioner of Public Lands
PATRICK H LYONS,4737,Grant,Commissioner of Public Lands
Total Votes,11685,Grant,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,823,Guadalupe,Commissioner of Public Lands
MICHAEL G LUCERO,142,Guadalupe,Commissioner of Public Lands
PATRICK H LYONS,708,Guadalupe,Commissioner of Public Lands
Total Votes,1673,Guadalupe,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,137,Harding,Commissioner of Public Lands
MICHAEL G LUCERO,25,Harding,Commissioner of Public Lands
PATRICK H LYONS,313,Harding,Commissioner of Public Lands
Total Votes,475,Harding,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,703,Hidalgo,Commissioner of Public Lands
MICHAEL G LUCERO,101,Hidalgo,Commissioner of Public Lands
PATRICK H LYONS,737,Hidalgo,Commissioner of Public Lands
Total Votes,1541,Hidalgo,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,2942,Lea,Commissioner of Public Lands
MICHAEL G LUCERO,629,Lea,Commissioner of Public Lands
PATRICK H LYONS,10193,Lea,Commissioner of Public Lands
Total Votes,13764,Lea,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,2129,Lincoln,Commissioner of Public Lands
MICHAEL G LUCERO,444,Lincoln,Commissioner of Public Lands
PATRICK H LYONS,5223,Lincoln,Commissioner of Public Lands
Total Votes,7796,Lincoln,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,5769,Los Alamos,Commissioner of Public Lands
MICHAEL G LUCERO,585,Los Alamos,Commissioner of Public Lands
PATRICK H LYONS,3751,Los Alamos,Commissioner of Public Lands
Total Votes,10105,Los Alamos,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,2606,Luna,Commissioner of Public Lands
MICHAEL G LUCERO,374,Luna,Commissioner of Public Lands
PATRICK H LYONS,3099,Luna,Commissioner of Public Lands
Total Votes,6079,Luna,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,11102,McKinley,Commissioner of Public Lands
MICHAEL G LUCERO,1477,McKinley,Commissioner of Public Lands
PATRICK H LYONS,5015,McKinley,Commissioner of Public Lands
Total Votes,17594,McKinley,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,1493,Mora,Commissioner of Public Lands
MICHAEL G LUCERO,156,Mora,Commissioner of Public Lands
PATRICK H LYONS,633,Mora,Commissioner of Public Lands
Total Votes,2282,Mora,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,5498,Otero,Commissioner of Public Lands
MICHAEL G LUCERO,1011,Otero,Commissioner of Public Lands
PATRICK H LYONS,10480,Otero,Commissioner of Public Lands
Total Votes,16989,Otero,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,881,Quay,Commissioner of Public Lands
MICHAEL G LUCERO,184,Quay,Commissioner of Public Lands
PATRICK H LYONS,2001,Quay,Commissioner of Public Lands
Total Votes,3066,Quay,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,8158,Rio Arriba,Commissioner of Public Lands
MICHAEL G LUCERO,696,Rio Arriba,Commissioner of Public Lands
PATRICK H LYONS,3718,Rio Arriba,Commissioner of Public Lands
Total Votes,12572,Rio Arriba,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,1213,Roosevelt,Commissioner of Public Lands
MICHAEL G LUCERO,267,Roosevelt,Commissioner of Public Lands
PATRICK H LYONS,3128,Roosevelt,Commissioner of Public Lands
Total Votes,4608,Roosevelt,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,11205,San Juan,Commissioner of Public Lands
MICHAEL G LUCERO,2549,San Juan,Commissioner of Public Lands
PATRICK H LYONS,23182,San Juan,Commissioner of Public Lands
Total Votes,36936,San Juan,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,6329,San Miguel,Commissioner of Public Lands
MICHAEL G LUCERO,507,San Miguel,Commissioner of Public Lands
PATRICK H LYONS,2326,San Miguel,Commissioner of Public Lands
Total Votes,9162,San Miguel,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,26388,Sandoval,Commissioner of Public Lands
MICHAEL G LUCERO,3402,Sandoval,Commissioner of Public Lands
PATRICK H LYONS,24734,Sandoval,Commissioner of Public Lands
Total Votes,54524,Sandoval,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,47356,Santa Fe,Commissioner of Public Lands
MICHAEL G LUCERO,2704,Santa Fe,Commissioner of Public Lands
PATRICK H LYONS,16016,Santa Fe,Commissioner of Public Lands
Total Votes,66076,Santa Fe,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,1617,Sierra,Commissioner of Public Lands
MICHAEL G LUCERO,261,Sierra,Commissioner of Public Lands
PATRICK H LYONS,2827,Sierra,Commissioner of Public Lands
Total Votes,4705,Sierra,Commissioner of Public Lands
STEPHANIE GARCIA RICHARD,3052,Socorro,Commissioner of Public Lands
MICHAEL G LUCERO,504,Socorro,Commissioner of Public Lands
PATRICK H LYONS,2567,Socorro,Commissioner of Public Lands
Total Votes,6123,Socorro,Commissioner of Public Lands
