county,race,candidate,votes
Douglas,STATE CONTROLLER,"BYRNE, CATHERINE",8107
Douglas,STATE CONTROLLER,NONE OF THESE CANDIDATES,655
Douglas,ATTORNEY GENERAL,"DUNCAN, WES",16965
Douglas,ATTORNEY GENERAL,"FORD, AARON",7383
Douglas,ATTORNEY GENERAL,"HANSEN, JOEL F.",931
Douglas,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,610
Douglas,"STATE SENATE, DISTRICT 17","SETTELMEYER, JAMES ARNOLD (INCUMBENT)",17995
Douglas,"STATE SENATE, DISTRICT 17","CANNON, CURTIS W.",7771
Douglas,"STATE ASSEMBLY, DISTRICT 39","WHEELER, JIM (INCUMBENT)",16780
Douglas,"STATE ASSEMBLY, DISTRICT 39","ACKERMAN, PATRICIA",8458
Douglas,"STATE ASSEMBLY, DISTRICT 39","CWALINA, PAUL",468
Douglas,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",10237
Douglas,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",8307
Douglas,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,4849
Douglas,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",17083
Douglas,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,5365
Douglas,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",10186
Douglas,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",8802
Douglas,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,4410
Douglas,DISTRICT ATTORNEY,"JACKSON, MARK B. (INCUMBENT)",21188
Douglas,COUNTY ASSESSOR,"THOLEN, TRENT",21556
Douglas,PUBLIC ADMINISTRATOR,"WALSH, STEVE",21173
Douglas,COUNTY RECORDER,"ELLISON, KAREN (INCUMBENT)",21417
Douglas,COUNTY CLERK-TREASURER,"LEWIS, KATHY (INCUMBENT)",21862
Douglas,COUNTY COMMISSIONER DISTRICT 2,"ENGELS, JOHN",20744
Douglas,COUNTY COMMISSIONER DISTRICT 4,"RICE, WESLEY A.",17436
Douglas,COUNTY COMMISSIONER DISTRICT 4,"KANDEL, KRISTI LYNN",6834
Douglas,"CONSTABLE, EAST FORK TOWNSHIP","GILBERT, PAUL E. (INCUMBENT)",19261
Douglas,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT,"SHERIDAN, JOHN",2847
Douglas,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT,"TETER, LEANN M. (INCUMBENT)",2196
Douglas,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT,"NEWLON, BRAD (INCUMBENT)",2140
Douglas,GARDNERVILLE RANCHOS GENERAL IMPROVEMENT DISTRICT,"SPELLBERG, ROBERT",2048
Douglas,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT,"CLARK-ROSS, KATHRYN",1113
Douglas,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT,"GARCIA, ROBERT M.",1001
Douglas,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT,"EISELE, BILL (INCUMBENT)",947
Douglas,INDIAN HILLS GENERAL IMPROVEMENT DISTRICT,"STOLYAROV, GENNADY II",520
Douglas,KINGSBURY GENERAL IMPROVEMENT DISTRICT,"VOGT, DARYA (INCUMBENT)",522
Douglas,KINGSBURY GENERAL IMPROVEMENT DISTRICT,"PARKS, SANDRA ""SANDY""",405
Douglas,KINGSBURY GENERAL IMPROVEMENT DISTRICT,"KIRSCHNER, WILLIAM ""BILL""",394
Douglas,KINGSBURY GENERAL IMPROVEMENT DISTRICT,"NORMAN, DAN (INCUMBENT)",393
Douglas,MINDEN-GARDNERVILLE SANITATION DISTRICT,"THRAN, TED",2449
Douglas,MINDEN-GARDNERVILLE SANITATION DISTRICT,"KING, MIKE (INCUMBENT)",2225
Douglas,MINDEN-GARDNERVILLE SANITATION DISTRICT,"SCHILLING, MARY",2138
Douglas,MINDEN-GARDNERVILLE SANITATION DISTRICT,"WILSON, RAY",1985
Douglas,ROUND HILL GENERAL IMPROVEMENT DISTRICT,"FAGEN, CHARLES ""CHUCK"" (INCUMBENT)",191
Douglas,ROUND HILL GENERAL IMPROVEMENT DISTRICT,"HARRIS, HUNTER (INCUMBENT)",155
Douglas,ROUND HILL GENERAL IMPROVEMENT DISTRICT,"FERTALA, KEITH E. (INCUMBENT)",151
Douglas,ROUND HILL GENERAL IMPROVEMENT DISTRICT,"MURPHY, JANET",128
Douglas,ROUND HILL GENERAL IMPROVEMENT DISTRICT,"RUSCHMEYER, CARL N.",95
Douglas,TOWN OF GARDNERVILLE ADVISORY BOARD,"SLATER, LINDA L. (INCUMBENT)",1434
Douglas,TOWN OF GARDNERVILLE ADVISORY BOARD,"HENNINGSEN, MICHAEL",1172
Douglas,TOWN OF GARDNERVILLE ADVISORY BOARD,"MILLER, KENNETH (INCUMBENT)",929
Douglas,TOWN OF GARDNERVILLE ADVISORY BOARD,"TRUTE, BRIAN",778
Douglas,TOWN OF GARDNERVILLE ADVISORY BOARD,"HAMPTON, AARON",735
Douglas,TOWN OF MINDEN ADVISORY BOARD,"BERNARD, MATT (INCUMBENT)",947
Douglas,TOWN OF MINDEN ADVISORY BOARD,"STANGLE, ROXANNE (INCUMBENT)",807
Douglas,TOWN OF MINDEN ADVISORY BOARD,"DRISCOLL, BILL",804
Douglas,TOWN OF MINDEN ADVISORY BOARD,"SOULIGNY, WILLIAM R. ""BILL"" (INCUMBENT)",799
Douglas,TOWN OF MINDEN ADVISORY BOARD,"KOONTZ, RICHARD SR.",755
Douglas,"JUSTICE OF THE PEACE, EAST FORK TOWNSHIP","JONES, CASSANDRA G.",11523
Douglas,"JUSTICE OF THE PEACE, EAST FORK TOWNSHIP","LEVIN, ERIK",8902
Elko,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",11490
Elko,UNITED STATES SENATOR,"ROSEN, JACKY",2903
Elko,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,260
Elko,UNITED STATES SENATOR,"HAGAN, TIM",205
Elko,UNITED STATES SENATOR,"MICHAELS, BARRY",172
Elko,UNITED STATES SENATOR,"BAKARI, KAMAU A.",142
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",12068
Elko,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",2964
Elko,GOVERNOR,"LAXALT, ADAM PAUL",11444
Elko,GOVERNOR,"SISOLAK, STEVE",2604
Elko,GOVERNOR,"BUNDY, RYAN",610
Elko,GOVERNOR,NONE OF THESE CANDIDATES,213
Elko,GOVERNOR,"LORD, JARED",159
Elko,GOVERNOR,"BEST, RUSSELL",140
Elko,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",10552
Elko,LIEUTENANT GOVERNOR,"MARSHALL, KATE",3109
Elko,LIEUTENANT GOVERNOR,"HANSEN, JANINE",943
Elko,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,323
Elko,LIEUTENANT GOVERNOR,"UEHLING, ED",186
Elko,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",11768
Elko,SECRETARY OF STATE,"ARAUJO, NELSON",2875
Elko,SECRETARY OF STATE,NONE OF THESE CANDIDATES,463
Elko,STATE TREASURER,"BEERS, BOB",11295
Elko,STATE TREASURER,"CONINE, ZACH",2887
Elko,STATE TREASURER,"HOGE, BILL",522
Elko,STATE TREASURER,NONE OF THESE CANDIDATES,401
Elko,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",11439
Elko,STATE CONTROLLER,"BYRNE, CATHERINE",3177
Elko,STATE CONTROLLER,NONE OF THESE CANDIDATES,461
Elko,ATTORNEY GENERAL,"DUNCAN, WES",11173
Elko,ATTORNEY GENERAL,"FORD, AARON",2842
Elko,ATTORNEY GENERAL,"HANSEN, JOEL F.",692
Elko,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,397
Elko,"STATE ASSEMBLY, DISTRICT 33","ELLISON, JOHN C. (INCUMBENT)",13578
Elko,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",6079
Elko,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",4979
Elko,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,3224
Elko,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",10223
Elko,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,3602
Elko,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",6359
Elko,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",4598
Elko,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,3139
Elko,DISTRICT ATTORNEY,"INGRAM, TYLER (INCUMBENT)",13448
Elko,COUNTY CLERK,"JAKEMAN, KRISTINE ""KRIS""",13498
Elko,COUNTY RECORDER,"SMALES, D. MIKE",13623
Elko,COUNTY CLERK-TREASURER,"PAUL, CHERYL",13505
Elko,COUNTY ASSESSOR,"RUSSELL, KATRINKA S. (INCUMBENT)",13609
Elko,"COUNTY COMMISSIONER, DISTRICT 2","ANDREOZZI, DELMO",13668
Elko,"COUNTY COMMISSIONER, DISTRICT 4","EKLUND, CLIFF",13447
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 1","ZEISZLER, BRIAN",6819
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 1","PHILLIPS, STACIE (INCUMBENT)",6564
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 6","WINES, CANDACE",8501
Elko,"SCHOOL BOARD OF TRUSTEES, DISTRICT 6","CARTER, EMILY",5068
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2","CHRISTENSEN, MICHAEL",189
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2","RAY, BRIAN",160
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 2","ORTEGA, MARIA G.",156
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 3","RODRIGUEZ, GERARDO",315
Elko,"WEST WENDOVER RECREATION BOARD, SEAT 3","CARTER, JARED F.",197
Elko,"WEST WENDOVER CITY COUNCIL, SEATS 1,2,5","DURHAM, KATHY",350
Elko,"WEST WENDOVER CITY COUNCIL, SEATS 1,2,5","HOLM, JASIE (INCUMBENT)",350
Elko,"WEST WENDOVER CITY COUNCIL, SEATS 1,2,5","GUTIERREZ, ISMAEL ""IZZY"" (INCUMBENT)",316
Elko,"WEST WENDOVER CITY COUNCIL, SEATS 1,2,5","HANSON, JOHN B. (INCUMBENT)",214
Elko,"WEST WENDOVER CITY COUNCIL, SEATS 1,2,5","DURHAM, JEFF R.",150
Elko,SHERIFF,"NARVAIZA, AITOR",7955
Elko,SHERIFF,"PITTS, JIM (INCUMBENT)",6634
Elko,"ELKO CITY COUNCIL, 2 SEATS","STONE, CHIP",2907
Elko,"ELKO CITY COUNCIL, 2 SEATS","HANCE, BILL",1824
Elko,"ELKO CITY COUNCIL, 2 SEATS","SMITH, RO",1677
Elko,"ELKO CITY COUNCIL, 2 SEATS","SECRIST, JEANNA",1600
Elko,"ELKO CITY COUNCIL, 2 SEATS","LIKER, TONY",888
Elko,ELKO CITY MAYOR,"KEENER, REECE",3010
Elko,ELKO CITY MAYOR,"LOGSDEN, MARCEY",2071
Elko,"CARLIN CITY COUNCIL, 2 SEATS","GRISWOLD, PATRICIA ""PAM"" (INCUMBENT)",340
Elko,"CARLIN CITY COUNCIL, 2 SEATS","LITCHFIELD, LINCOLN (INCUMBENT)",245
Elko,"CARLIN CITY COUNCIL, 2 SEATS","EVENSON, WAYNE A.",229
Elko,"CARLIN CITY COUNCIL, 2 SEATS","ESPARZA, SABRA",166
Elko,CARLIN CITY COUNCIL,"KINNEY, CAMERON (INCUMBENT)",514
Elko,CARLIN CITY MAYOR,"HOLBROOK, DANA DON (INCUMBENT)",520
Elko,WELLS CITY MAYOR,"WALZ, LAYLA (INCUMBENT)",356
Elko,WELLS CITY COUNCIL,"WOOLSEY, ROBERT",298
Elko,WELLS CITY COUNCIL,"PACE, MICHAEL K. (INCUMBENT)",93
Elko,WELLS CITY COUNCIL,"GOOLSBY, JONATHAN",340
Elko,"ELKO JUSTICE OF THE PEACE, DEPARTMENT A","SIMONS, MASON EDWARD (INCUMBENT)",7778
Elko,"ELKO JUSTICE OF THE PEACE, DEPARTMENT A","CHIESA, ANTOINETTE",3984
Esmeralda,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",280
Esmeralda,UNITED STATES SENATOR,"ROSEN, JACKY",52
Esmeralda,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,17
Esmeralda,UNITED STATES SENATOR,"HAGAN, TIM",10
Esmeralda,UNITED STATES SENATOR,"MICHAELS, BARRY",9
Esmeralda,UNITED STATES SENATOR,"BAKARI, KAMAU A.",3
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HARDY, CRESENT",290
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","HORSFORD, STEVEN A.",54
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","LUCKNER, GREGG",8
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MARKOWITZ, WARREN ROSS",8
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","MCGONIGLE, DEAN",2
Esmeralda,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 4","SMITH, RODNEY",2
Esmeralda,GOVERNOR,"LAXALT, ADAM PAUL",273
Esmeralda,GOVERNOR,"SISOLAK, STEVE",51
Esmeralda,GOVERNOR,"BUNDY, RYAN",29
Esmeralda,GOVERNOR,NONE OF THESE CANDIDATES,8
Esmeralda,GOVERNOR,"BEST, RUSSELL",7
Esmeralda,GOVERNOR,"LORD, JARED",3
Esmeralda,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",258
Esmeralda,LIEUTENANT GOVERNOR,"MARSHALL, KATE",61
Esmeralda,LIEUTENANT GOVERNOR,"HANSEN, JANINE",20
Esmeralda,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,19
Esmeralda,LIEUTENANT GOVERNOR,"UEHLING, ED",12
Esmeralda,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",291
Esmeralda,SECRETARY OF STATE,"ARAUJO, NELSON",57
Esmeralda,SECRETARY OF STATE,NONE OF THESE CANDIDATES,21
Esmeralda,STATE TREASURER,"BEERS, BOB",282
Esmeralda,STATE TREASURER,"CONINE, ZACH",55
Esmeralda,STATE TREASURER,"HOGE, BILL",16
Esmeralda,STATE TREASURER,NONE OF THESE CANDIDATES,15
Esmeralda,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",270
Esmeralda,STATE CONTROLLER,"BYRNE, CATHERINE",68
Esmeralda,STATE CONTROLLER,NONE OF THESE CANDIDATES,27
Esmeralda,ATTORNEY GENERAL,"DUNCAN, WES",271
Esmeralda,ATTORNEY GENERAL,"FORD, AARON",57
Esmeralda,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,21
Esmeralda,ATTORNEY GENERAL,"HANSEN, JOEL F.",20
Esmeralda,"STATE SENATE, DISTRICT 14","HANSEN, IRA",291
Esmeralda,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",71
Esmeralda,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",290
Esmeralda,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",72
Esmeralda,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",154
Esmeralda,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",113
Esmeralda,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,84
Esmeralda,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",215
Esmeralda,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,122
Esmeralda,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",163
Esmeralda,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,97
Esmeralda,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",86
Esmeralda,COUNTY ASSESSOR,"LEE, RUTH P. (INCUMBENT)",345
Esmeralda,"COUNTY COMMISSIONER, DISTRICT 1","HIPP, TIMOTHY",101
Esmeralda,"COUNTY COMMISSIONER, DISTRICT 1","STEZAKER, MARK",69
Esmeralda,COUNTY AUDITOR AND RECORDER,"BOYER, VERA (INCUMBENT)",245
Esmeralda,COUNTY AUDITOR AND RECORDER,"HUBER-BETH, PATRICIA ""PATTY""",120
Esmeralda,COUNTY CLERK-TREASURER,"ELGAN, LACINDA ""CINDY"" (INCUMBENT)",324
Esmeralda,DISTRICT ATTORNEY,"GLENNEN, ROBERT E. III (INCUMBENT)",311
Eureka,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",633
Eureka,UNITED STATES SENATOR,"ROSEN, JACKY",74
Eureka,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,22
Eureka,UNITED STATES SENATOR,"MICHAELS, BARRY",13
Eureka,UNITED STATES SENATOR,"HAGAN, TIM",9
Eureka,UNITED STATES SENATOR,"BAKARI, KAMAU A.",7
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",658
Eureka,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",89
Eureka,GOVERNOR,"LAXALT, ADAM PAUL",609
Eureka,GOVERNOR,"SISOLAK, STEVE",61
Eureka,GOVERNOR,"BUNDY, RYAN",47
Eureka,GOVERNOR,NONE OF THESE CANDIDATES,20
Eureka,GOVERNOR,"BEST, RUSSELL",16
Eureka,GOVERNOR,"LORD, JARED",4
Eureka,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",567
Eureka,LIEUTENANT GOVERNOR,"MARSHALL, KATE",90
Eureka,LIEUTENANT GOVERNOR,"HANSEN, JANINE",52
Eureka,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,36
Eureka,LIEUTENANT GOVERNOR,"UEHLING, ED",9
Eureka,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",649
Eureka,SECRETARY OF STATE,"ARAUJO, NELSON",74
Eureka,SECRETARY OF STATE,NONE OF THESE CANDIDATES,33
Eureka,STATE TREASURER,"BEERS, BOB",627
Eureka,STATE TREASURER,"CONINE, ZACH",70
Eureka,STATE TREASURER,"HOGE, BILL",33
Eureka,STATE TREASURER,NONE OF THESE CANDIDATES,22
Eureka,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",620
Eureka,STATE CONTROLLER,"BYRNE, CATHERINE",95
Eureka,STATE CONTROLLER,NONE OF THESE CANDIDATES,32
Eureka,ATTORNEY GENERAL,"DUNCAN, WES",613
Eureka,ATTORNEY GENERAL,"FORD, AARON",73
Eureka,ATTORNEY GENERAL,"HANSEN, JOEL F.",40
Eureka,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,28
Eureka,"STATE ASSEMBLY, DISTRICT 33","ELLISON, JOHN C. (INCUMBENT)",706
Eureka,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",271
Eureka,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",225
Eureka,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,215
Eureka,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",451
Eureka,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,239
Eureka,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",307
Eureka,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,214
Eureka,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",184
Eureka,DISTRICT ATTORNEY,"BEUTEL, THEODORE ""TED"" (INCUMBENT)",619
Eureka,COUNTY CLERK RECORDER,"HOEHNE, LISA L.",561
Eureka,COUNTY CLERK RECORDER,"PEARCE, AMANDA JEAN",186
Eureka,COUNTY TREASURER,"CONLEY, BEVERLY (INCUMBENT)",698
Eureka,COUNTY ASSESSOR,"MEARS, MICHAEL A.",696
Eureka,"COUNTY COMMISSIONER, DISTRICT 2","MCKAY, RICH",697
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A","HICKS, ROBIN (INCUMBENT)",354
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A","FITZWATER, MELISSA",257
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2A","IZZOLO, JIM",115
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2B","BAUMANN, DARLA R. (INCUMBENT)",379
Eureka,"SCHOOL DISTRICT BOARD OF TRUSTEES, SEAT 2B","ANDERSON, BRANDI",339
Eureka,JUSTICE OF THE PEACE,"ROWLEY, DOROTHY",582
Eureka,JUSTICE OF THE PEACE,"SHARKOZY, MELYNDA",133
Humboldt,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",4020
Humboldt,UNITED STATES SENATOR,"ROSEN, JACKY",1187
Humboldt,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,139
Humboldt,UNITED STATES SENATOR,"MICHAELS, BARRY",77
Humboldt,UNITED STATES SENATOR,"HAGAN, TIM",71
Humboldt,UNITED STATES SENATOR,"BAKARI, KAMAU A.",51
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",4320
Humboldt,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",1162
Humboldt,GOVERNOR,"LAXALT, ADAM PAUL",4061
Humboldt,GOVERNOR,"SISOLAK, STEVE",1067
Humboldt,GOVERNOR,"BUNDY, RYAN",183
Humboldt,GOVERNOR,NONE OF THESE CANDIDATES,118
Humboldt,GOVERNOR,"BEST, RUSSELL",74
Humboldt,GOVERNOR,"LORD, JARED",40
Humboldt,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",3542
Humboldt,LIEUTENANT GOVERNOR,"MARSHALL, KATE",1483
Humboldt,LIEUTENANT GOVERNOR,"HANSEN, JANINE",258
Humboldt,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,156
Humboldt,LIEUTENANT GOVERNOR,"UEHLING, ED",87
Humboldt,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",4102
Humboldt,SECRETARY OF STATE,"ARAUJO, NELSON",1226
Humboldt,SECRETARY OF STATE,NONE OF THESE CANDIDATES,183
Humboldt,STATE TREASURER,"BEERS, BOB",3988
Humboldt,STATE TREASURER,"CONINE, ZACH",1142
Humboldt,STATE TREASURER,NONE OF THESE CANDIDATES,219
Humboldt,STATE TREASURER,"HOGE, BILL",161
Humboldt,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",3976
Humboldt,STATE CONTROLLER,"BYRNE, CATHERINE",1306
Humboldt,STATE CONTROLLER,NONE OF THESE CANDIDATES,222
Humboldt,ATTORNEY GENERAL,"DUNCAN, WES",3957
Humboldt,ATTORNEY GENERAL,"FORD, AARON",1085
Humboldt,ATTORNEY GENERAL,"HANSEN, JOEL F.",307
Humboldt,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,167
Humboldt,"STATE SENATE, DISTRICT 14","HANSEN, IRA",4105
Humboldt,"STATE SENATE, DISTRICT 14","BOSZAK, WENDY",1359
Humboldt,"STATE ASSEMBLY, DISTRICT 32","HANSEN, ALEXIS M.",4182
Humboldt,"STATE ASSEMBLY, DISTRICT 32","POVILAITIS, PAULA",1257
Humboldt,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",1999
Humboldt,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",1968
Humboldt,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,1245
Humboldt,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",3691
Humboldt,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,1316
Humboldt,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",2160
Humboldt,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",1841
Humboldt,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,1204
Humboldt,DISTRICT ATTORNEY,"MACDONALD, MICHAEL",4034
Humboldt,COUNTY ASSESSOR,"JOHNSON, WILLIAM ""JEFF"" (INCUMBENT)",5087
Humboldt,COUNTY CLERK,"SPERO, TAMI RAE (INCUMBENT)",5164
Humboldt,COUNTY TREASURER,"LECUMBERRY, RHONA (INCUMBENT)",5057
Humboldt,COUNTY RECORDER,"ENGSTROM, DEBORAH (INCUMBENT)",5041
Humboldt,"COUNTY COMMISSIONER, SEAT C","CERRI, RONALD L. (INCUMBENT)",5007
Humboldt,"COUNTY COMMISSIONER, SEAT E","FRENCH, JIM (INCUMBENT)",4956
Humboldt,"HUMBOLDT HOSPITAL BOARD DISTRICT TRUSTEE, SEAT B","HUNT, GENE",3039
Humboldt,"HUMBOLDT HOSPITAL BOARD DISTRICT TRUSTEE, SEAT B","MURPHY, JOEL",1792
Humboldt,"SCHOOL DISTRICT BOARD TRUSTEE, SEAT F","ENTWISTLE, CHRISTOPHER R.",2969
Humboldt,"SCHOOL DISTRICT BOARD TRUSTEE, SEAT F","DOUGLAS, BILL",1922
Humboldt,"CITY COUNCIL MEMBER, SEAT 2","MAVITY, THERESA (INCUMBENT)",1536
Humboldt,"CITY COUNCIL MEMBER, SEAT 2","HORKY, GARY",837
Humboldt,"CITY COUNCIL MEMBER, SEAT 4","BILLINGSLEY, JIM",1809
Humboldt,"CITY COUNCIL MEMBER, SEAT 4","BRYANT, FREDRICK",603
Humboldt,CITY OF WINNEMUCCA MAYOR,"STONE, RICH",1414
Humboldt,CITY OF WINNEMUCCA MAYOR,"BROOKS, PAIGE",1049
Humboldt,UNION TOWNSHIP JUSTICE OF THE PEACE,"LOVELESS, JIM",2657
Humboldt,UNION TOWNSHIP JUSTICE OF THE PEACE,"MORGAN, MATT",2467
Lander,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",1588
Lander,UNITED STATES SENATOR,"ROSEN, JACKY",350
Lander,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,64
Lander,UNITED STATES SENATOR,"HAGAN, TIM",36
Lander,UNITED STATES SENATOR,"MICHAELS, BARRY",30
Lander,UNITED STATES SENATOR,"BAKARI, KAMAU A.",25
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",1692
Lander,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",376
Lander,GOVERNOR,"LAXALT, ADAM PAUL",1571
Lander,GOVERNOR,"SISOLAK, STEVE",316
Lander,GOVERNOR,"BUNDY, RYAN",100
Lander,GOVERNOR,NONE OF THESE CANDIDATES,57
Lander,GOVERNOR,"BEST, RUSSELL",26
Lander,GOVERNOR,"LORD, JARED",21
Lander,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",1425
Lander,LIEUTENANT GOVERNOR,"MARSHALL, KATE",427
Lander,LIEUTENANT GOVERNOR,"HANSEN, JANINE",121
Lander,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,82
Lander,LIEUTENANT GOVERNOR,"UEHLING, ED",35
Lander,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",1585
