county,race,candidate,votes
Carson City,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",10820
Carson City,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",7376
Carson City,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,4034
Carson City,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",16457
Carson City,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,5497
Carson City,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",11645
Carson City,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",6576
Carson City,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,3966
Carson City,BOARD OF SUPERVISORS,"GIOMI, STACEY",14373
Carson City,BOARD OF SUPERVISORS,"WOOD, JOHN",7228
Carson City,SHERIFF,"FURLONG, KENNY (INCUMBENT)",17536
Carson City,SHERIFF,"HOULE, LORNE R.",4700
Carson City,JUSTICE OF THE PEACE,"LUIS, KRISTIN",11079
Carson City,JUSTICE OF THE PEACE,"RUSSELL, RYAN",10680
Churchill,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",7042
Churchill,UNITED STATES SENATOR,"ROSEN, JACKY",1999
Churchill,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,218
Churchill,UNITED STATES SENATOR,"MICHAELS, BARRY",145
Churchill,UNITED STATES SENATOR,"HAGAN, TIM",116
Churchill,UNITED STATES SENATOR,"BAKARI, KAMAU A.",92
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","AMODEI, MARK E. (INCUMBENT)",7506
Churchill,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 2","KOBLE, CLINT",1983
Churchill,GOVERNOR,"LAXALT, ADAM PAUL",7033
Churchill,GOVERNOR,"SISOLAK, STEVE",1869
Churchill,GOVERNOR,"BUNDY, RYAN",278
Churchill,GOVERNOR,NONE OF THESE CANDIDATES,194
Churchill,GOVERNOR,"BEST, RUSSELL",129
Churchill,GOVERNOR,"LORD, JARED",104
Churchill,LIEUTENANT GOVERNOR,"ROBERSON, MICHAEL",6385
Churchill,LIEUTENANT GOVERNOR,"MARSHALL, KATE",2338
Churchill,LIEUTENANT GOVERNOR,"HANSEN, JANINE",447
Churchill,LIEUTENANT GOVERNOR,NONE OF THESE CANDIDATES,244
Churchill,LIEUTENANT GOVERNOR,"UEHLING, ED",156
Churchill,SECRETARY OF STATE,"CEGAVSKE, BARBARA K. (INCUMBENT)",7193
Churchill,SECRETARY OF STATE,"ARAUJO, NELSON",2117
Churchill,SECRETARY OF STATE,NONE OF THESE CANDIDATES,259
Churchill,STATE TREASURER,"BEERS, BOB",6980
Churchill,STATE TREASURER,"CONINE, ZACH",1959
Churchill,STATE TREASURER,NONE OF THESE CANDIDATES,310
Churchill,STATE TREASURER,"HOGE, BILL",308
Churchill,STATE CONTROLLER,"KNECHT, RON (INCUMBENT)",7086
Churchill,STATE CONTROLLER,"BYRNE, CATHERINE",2173
Churchill,STATE CONTROLLER,NONE OF THESE CANDIDATES,306
Churchill,ATTORNEY GENERAL,"DUNCAN, WES",6961
Churchill,ATTORNEY GENERAL,"FORD, AARON",1805
Churchill,ATTORNEY GENERAL,"HANSEN, JOEL F.",539
Churchill,ATTORNEY GENERAL,NONE OF THESE CANDIDATES,262
Churchill,"STATE SENATE, DISTRICT 17","SETTELMEYER, JAMES ARNOLD (INCUMBENT)",7338
Churchill,"STATE SENATE, DISTRICT 17","CANNON, CURTIS W.",2115
Churchill,"STATE ASSEMBLY, DISTRICT 38","TITUS, ROBIN L. (INCUMBENT)",8647
Churchill,"SUPREME COURT JUSTICE, SEAT C","CADISH, ELISSA",3915
Churchill,"SUPREME COURT JUSTICE, SEAT C","TAO, JERRY",3359
Churchill,"SUPREME COURT JUSTICE, SEAT C",NONE OF THESE CANDIDATES,1821
Churchill,"SUPREME COURT JUSTICE, SEAT F","SILVER, ABBI",6725
Churchill,"SUPREME COURT JUSTICE, SEAT F",NONE OF THESE CANDIDATES,2137
Churchill,"SUPREME COURT JUSTICE, SEAT G","STIGLICH, LIDIA (INCUMBENT)",3957
Churchill,"SUPREME COURT JUSTICE, SEAT G","HARTER, MATHEW",3386
Churchill,"SUPREME COURT JUSTICE, SEAT G",NONE OF THESE CANDIDATES,1758
Churchill,DISTRICT ATTORNEY,"MALLORY, ART",8511
Churchill,PUBLIC ADMINISTRATOR,"GETTO JR., ROBERT M. (INCUMBENT)",8608
Churchill,"COUNTY COMMISSIONER, DISTRICT 2","OLSEN, PETE",8692
Churchill,COUNTY CLERK-TREASURER,"ROTHERY, LINDA",8639
Churchill,COUNTY ASSESSOR,"MONDHINK-FELTON, DENISE L.",8637
Churchill,COUNTY RECORDER,"HESSEY, TASHA (INCUMBENT)",8622
Churchill,BOARD OF SCHOOL TRUSTEES,"GETTO, AMBER N.",5111
Churchill,BOARD OF SCHOOL TRUSTEES,"BUCKMASTER, FREDERICK D.",4859
Churchill,BOARD OF SCHOOL TRUSTEES,"SCHANK, CARMEN (INCUMBENT)",4585
Churchill,BOARD OF SCHOOL TRUSTEES,"HYDE, MATT (INCUMBENT)",4239
Churchill,BOARD OF SCHOOL TRUSTEES,"MCDONALD, TEDD",3966
Churchill,BOARD OF SCHOOL TRUSTEES,"HENDRIX, CLAY (INCUMBENT)",3310
Churchill,BOARD OF SCHOOL TRUSTEES,"SMOTHERMAN, DEBY",2915
Churchill,BOARD OF SCHOOL TRUSTEES,"JULIAN, PATTY",2682
Churchill,"MOSQUITO, VECTOR & NOXIOUS WEED ABATEMENT BOARD","LATTIN, CHRISTY",6040
Churchill,"MOSQUITO, VECTOR & NOXIOUS WEED ABATEMENT BOARD","HUTCHINGS, THOMAS",4504
Churchill,"MOSQUITO, VECTOR & NOXIOUS WEED ABATEMENT BOARD","SPENCER, MICHAEL",3874
Churchill,"MOSQUITO, VECTOR & NOXIOUS WEED ABATEMENT BOARD","TUCKER, LARRY",3518
Churchill,"MOSQUITO, VECTOR & NOXIOUS WEED ABATEMENT BOARD","SMITH, GARY L.",3405
Churchill,SHERIFF,"HICKOX, RICHARD C.",5007
Churchill,SHERIFF,"EAST, RAY",4138
Churchill,JUSTICE OF THE PEACE,"TROTTER, BENJAMIN D.",5946
Churchill,JUSTICE OF THE PEACE,"RICHARDS, MIKE",3307
Clark,UNITED STATES SENATOR,"ROSEN, JACKY",358838
Clark,UNITED STATES SENATOR,"HELLER, DEAN (INCUMBENT)",266600
Clark,UNITED STATES SENATOR,NONE OF THESE CANDIDATES,9808
Clark,UNITED STATES SENATOR,"MICHAELS, BARRY",5921
Clark,UNITED STATES SENATOR,"HAGAN, TIM",5820
Clark,UNITED STATES SENATOR,"BAKARI, KAMAU A.",4782
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 1","TITUS, DINA (INCUMBENT)",100643
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 1","BENTLEY, JOYCE",46963
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 1","GARFIELD, DAN",2453
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 1","STRAWDER, ROBERT",2062
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","LEE, SUSIE",148436
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","TARKANIAN, DANNY",122527
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","BROWN, STEVE",4554
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","GOOSSEN, DAVID",3627
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","VICKERS, HARRY L.",3479
Clark,"U.S. REPRESENTATIVE IN CONGRESS, DIST. 3","EISNER, GIL",1887
